age_bin,type,bootstrap_mean,ci_upper,ci_lower,mi
6,child_given_child,0.08356452673102649,0.1406227039117488,0.014942430642201666,0.0869018230345888
6,child_given_parent,0.027054434613302744,0.04023331216129091,0.012217936474913944,0.02470238503200419
6,parent_given_child,0.039788854468734765,0.05626175977893765,0.01968732690452897,0.038433608648006684
12,child_given_child,0.3871132721283969,0.44882664249768345,0.3175133784079009,0.3855752608157396
12,child_given_parent,0.12719868760032857,0.14480464019636968,0.11216331433723159,0.12297992528213747
12,parent_given_child,0.22004770187681502,0.2394863193975691,0.1988603159219134,0.21702367936218311
18,child_given_child,0.23929035832993212,0.26038586151048404,0.21805261224683786,0.23821972661524135
18,child_given_parent,0.1284030152722596,0.13891711038475116,0.11686968568261526,0.12710145027947672
18,parent_given_child,0.21640025259387763,0.2283976895523156,0.20399495877398505,0.21545427578716933
24,child_given_child,0.1647774055884849,0.17685184626504835,0.15013273616210454,0.16370117328845354
24,child_given_parent,0.11213348012928137,0.11925413832678572,0.10485714751998162,0.11115921048615383
24,parent_given_child,0.18374701827630704,0.19255968257946166,0.17506172369303866,0.18300282648524605
30,child_given_child,0.16178899706344202,0.17376915645433094,0.14805271247045343,0.16098704322619461
30,child_given_parent,0.11503048717029543,0.12206981824187116,0.10870703333238257,0.11405527717573091
30,parent_given_child,0.16815533122167084,0.17667293568471734,0.1596862264730875,0.16725244153059687
36,child_given_child,0.13243417035392713,0.1433681919973468,0.12109819639480313,0.13139564662199588
36,child_given_parent,0.1014646558258868,0.10809697556961465,0.09488476347089568,0.09995791517104774
36,parent_given_child,0.14193268170262185,0.1499579684015237,0.13351621038587505,0.1405057274867749
42,child_given_child,0.12364248395741784,0.1350987798745281,0.11176344246693998,0.12207996575679385
42,child_given_parent,0.10821850696986168,0.11635490601254918,0.1004564080200199,0.1065412005093717
42,parent_given_child,0.12872696214122992,0.13794375087317629,0.12041069549261799,0.127337585462496
48,child_given_child,0.11951731902417409,0.13113853595334593,0.10751399541835523,0.11776450199857164
48,child_given_parent,0.1005637235206716,0.10810378115291278,0.09373785751279932,0.09847934404957333
48,parent_given_child,0.1262885918902952,0.1350652518780186,0.11840893762834848,0.12441106326359533
54,child_given_child,0.07342772842493668,0.08241449880316978,0.06543752225208119,0.07224815470765311
54,child_given_parent,0.06865309996052611,0.07774196413533638,0.06028789279579522,0.06747338379362967
54,parent_given_child,0.07871913677057761,0.08906644873338929,0.06885943111397302,0.07754520399675396
